logprob,n_clusters,n_procs,clusters
-4681.034528097991,5,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-O890425;H1-F016930:H1-O181005;H1-B121035:H1-F049075;H1-F086942:H1-O7909;H1-H022825:H1-I411170
-4775.1889775608815,4,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-O890425;H1-F016930:H1-O181005;H1-B121035:H1-F049075:H1-F086942:H1-O7909;H1-H022825:H1-I411170
-4875.10087042932,3,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-O890425:H1-F016930:H1-O181005;H1-B121035:H1-F049075:H1-F086942:H1-O7909;H1-H022825:H1-I411170
-5001.454111396117,2,2,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-O890425:H1-F016930:H1-O181005;H1-B121035:H1-F049075:H1-F086942:H1-O7909:H1-H022825:H1-I411170
-4695.158386230469,8,1,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375;H1-B121035:H1-F049075;H1-F016930;H1-F086942;H1-H022825:H1-I411170;H1-O181005;H1-O7909;H1-O890425
-4652.6035292777715,7,1,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-B121035:H1-F049075;H1-F016930;H1-F086942;H1-H022825:H1-I411170;H1-O181005;H1-O7909;H1-O890425
-4634.374104103631,6,1,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-B121035:H1-F049075;H1-F016930:H1-F086942;H1-H022825:H1-I411170;H1-O181005;H1-O7909;H1-O890425
-4621.219945347689,5,1,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-B121035:H1-F049075:H1-O890425;H1-F016930:H1-F086942;H1-H022825:H1-I411170;H1-O181005;H1-O7909
-4609.087115296586,4,1,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-B121035:H1-F049075:H1-O890425;H1-F016930:H1-F086942:H1-O181005;H1-H022825:H1-I411170;H1-O7909
-4603.85022488263,3,1,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-B121035:H1-F049075:H1-O890425;H1-F016930:H1-F086942:H1-O181005:H1-O7909;H1-H022825:H1-I411170
-4744.070938857844,2,1,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-B121035:H1-F049075:H1-O890425:H1-H022825:H1-I411170;H1-F016930:H1-F086942:H1-O181005:H1-O7909
-4950.15474435198,1,1,H1-A051047:H1-F093796:H1-H030614:H1-H014762:H1-C434261:H1-H035879:H1-H109811:H1-F056130:H1-F097195:H1-F003375:H1-B121035:H1-F049075:H1-O890425:H1-H022825:H1-I411170:H1-F016930:H1-F086942:H1-O181005:H1-O7909
