unique_id,second_unique_id,score
-3130708388701300084,7656332299308412694,-467.299
-3130708388701300084,3520889313781664455,-430.549
-3130708388701300084,4101543271753761741,-419.868
-3130708388701300084,-7895446867319719446,-454.699
-3130708388701300084,4203982788930345093,-441.876
-3130708388701300084,3211167014208589976,-436.107
-3130708388701300084,-8279455191712412124,-462.546
-3130708388701300084,-7532487975348871303,-431.761
-3130708388701300084,-5947102114582201831,-447.611
-3130708388701300084,4062136893161647545,-425.723
-3130708388701300084,4979397670495805091,-426.453
-3130708388701300084,-2140628345011917312,-435.155
-3130708388701300084,-6206280036481643869,-471.453
-3130708388701300084,-9001718291186356822,-449.937
-3130708388701300084,4770398013392084470,-470.481
-3130708388701300084,-1103941004466551643,-466.228
-3130708388701300084,7301044111390827316,-426.247
-3130708388701300084,-3474147240176822363,-437.535
-3130708388701300084,-6313721469389627735,-454.464
-3130708388701300084,2921573752542374381,-428.51
-3130708388701300084,-934303857119801307,-441.249
-3130708388701300084,8147706269783926128,-462.464
-3130708388701300084,8834969783108428620,-429.865
-3130708388701300084,-6478237343193102295,-485.701
-3130708388701300084,4807309339255709840,-443.194
-3130708388701300084,3342651214084702024,-424.14
-3130708388701300084,-3634043162377062123,-459.063
-3130708388701300084,-6028561486382518432,-486.065
-3130708388701300084,1173760363995119909,-417.622
-3130708388701300084,5987428991231097357,-428.51
-3130708388701300084,-3991007531881892754,-418.012
-3130708388701300084,699231180272282110,-444.021
-3130708388701300084,-7798257147912034918,-177.406
-3130708388701300084,-4063037262079803772,-430.661
-3130708388701300084,5087453961413551137,-459.216
-3130708388701300084,7548414178576466944,-469.745
-3130708388701300084,5066106398485395533,-446.733
-3130708388701300084,-7231125957256959386,-456.631
-3130708388701300084,-6785318672435007247,-470.069
-3130708388701300084,8098125751271273458,-435.476
-3130708388701300084,-6170207641721615624,-437.501
-3130708388701300084,-3299239993491156909,-207.347
-3130708388701300084,3020177226210406153,-449.378
-3130708388701300084,6559849131423367148,-463.773
-3130708388701300084,-6138895173485037185,-425.316
-3130708388701300084,-3437542729890120064,-430.75
-3130708388701300084,-658078957913864792,-182.258
-3130708388701300084,-8107202198149034496,-433.715
-3130708388701300084,-2708280104215305734,-471.991
-3130708388701300084,-6381135896718724095,-419.254
-3130708388701300084,7260615920859775557,-429.776
-3130708388701300084,-4635034142724780603,-461.124
-3130708388701300084,8061674923517213296,-461.389
-3130708388701300084,-6084281092104908607,-421.07
-3130708388701300084,-8501023744514898123,-435.48
-3130708388701300084,1533637568210783802,-439.462
-3130708388701300084,-2663880716506744888,-435.247
-3130708388701300084,3893469965217752281,-416.284
-3130708388701300084,-6156303979434295083,-430.515
-3130708388701300084,-6944130675537547589,-444.683
-3130708388701300084,-660397594252164806,-444.94
-3130708388701300084,5745334412515153620,-418.839
-3130708388701300084,-686191159622241480,-452.331
-3130708388701300084,-1491399928372265317,-427.13
-3130708388701300084,-3232531456911750814,-433.749
-3130708388701300084,-6778428729696682130,-430.661
-3130708388701300084,1895204085760204442,-427.657
-3130708388701300084,4209377981302608759,-421.792
-3130708388701300084,4662051948016029452,-462.912
-3130708388701300084,-873221036309224253,-456.631
-3130708388701300084,8659822589160176673,-416.4
-3130708388701300084,-4121073669895234471,-440.106
-3130708388701300084,5616078295027358551,-469.399
-3130708388701300084,2387347694963411672,-439.571
-3130708388701300084,562206148682631912,-416.441
-3130708388701300084,7600716048248972826,-469.79
-3130708388701300084,-3988378635212457670,-175.507
-3130708388701300084,-1269931802774652026,-205.476
-3130708388701300084,8729198669139471579,-429.885
-3130708388701300084,-551634570514840180,-439.172
-3130708388701300084,-6899001202539983799,-466.133
-3130708388701300084,6701977404000280641,-190.136
-3130708388701300084,-1660016348269225692,-424.244
-3130708388701300084,-1416641310641414825,-473.26
-3130708388701300084,3917965840465455612,-444.223
-3130708388701300084,2207922032865882575,-208.767
-3130708388701300084,-8667086051145763462,-444.022
-3130708388701300084,-7952692742360355799,-429.107
-3130708388701300084,-2281669489761263655,-436.245
-3130708388701300084,5021864125432492011,-202.111
-3130708388701300084,75219830094639980,-473.971
-3130708388701300084,460496702627901797,-445.921
-3130708388701300084,4285431399989245073,-207.149
-3130708388701300084,4866041672870413027,-500.907
-3130708388701300084,-14738859745464792,-443.395
-3130708388701300084,-9020299283665944738,-447.396
-3130708388701300084,7823614672267247612,-497.775
-3130708388701300084,-213785110841277033,-432.597
7656332299308412694,3520889313781664455,-448.742
7656332299308412694,4101543271753761741,-445.029
7656332299308412694,-7895446867319719446,-428.963
7656332299308412694,4203982788930345093,-439.303
7656332299308412694,3211167014208589976,-456.244
7656332299308412694,-8279455191712412124,-194.371
7656332299308412694,-7532487975348871303,-454.983
7656332299308412694,-5947102114582201831,-464.833
7656332299308412694,4062136893161647545,-423.394
7656332299308412694,4979397670495805091,-455.269
7656332299308412694,-2140628345011917312,-448.496
7656332299308412694,-6206280036481643869,-409.734
7656332299308412694,-9001718291186356822,-439.203
7656332299308412694,4770398013392084470,-458.088
7656332299308412694,-1103941004466551643,-440.426
7656332299308412694,7301044111390827316,-456.592
7656332299308412694,-3474147240176822363,-447.289
7656332299308412694,-6313721469389627735,-430.669
7656332299308412694,2921573752542374381,-444.604
7656332299308412694,-934303857119801307,-428.442
7656332299308412694,8147706269783926128,-449.477
