import time: 0.829
unique_id,reco_id
-3130708388701300084,6
7656332299308412694,1
3520889313781664455,2
4101543271753761741,6
-7895446867319719446,2
4203982788930345093,2
3211167014208589976,6
-8279455191712412124,1
-7532487975348871303,6
-5947102114582201831,6
4062136893161647545,2
4979397670495805091,6
-1660016348269225692,6
-6206280036481643869,13
-9001718291186356822,2
4770398013392084470,6
-1103941004466551643,2
7301044111390827316,6
-3474147240176822363,6
-6313721469389627735,2
-7798257147912034918,6
-934303857119801307,21
8147706269783926128,13
8834969783108428620,2
460496702627901797,6
-6478237343193102295,13
4807309339255709840,2
3342651214084702024,6
-3634043162377062123,13
-6028561486382518432,13
1173760363995119909,6
5987428991231097357,6
-3991007531881892754,2
699231180272282110,2
2921573752542374381,6
-4063037262079803772,2
5087453961413551137,1
7548414178576466944,1
5066106398485395533,2
-7231125957256959386,37
-6785318672435007247,6
-6170207641721615624,2
3917965840465455612,2
3020177226210406153,13
6559849131423367148,1
-6138895173485037185,2
-3437542729890120064,6
-658078957913864792,6
-8107202198149034496,2
-2708280104215305734,2
-6381135896718724095,6
7260615920859775557,6
-4635034142724780603,1
8061674923517213296,1
-6084281092104908607,6
-8501023744514898123,2
1533637568210783802,53
-2663880716506744888,54
3893469965217752281,6
-6156303979434295083,56
-6944130675537547589,2
-660397594252164806,2
5745334412515153620,2
-686191159622241480,2
-1491399928372265317,6
-3232531456911750814,2
-6778428729696682130,2
1895204085760204442,2
4209377981302608759,2
4662051948016029452,2
-873221036309224253,67
8659822589160176673,6
-4121073669895234471,6
5616078295027358551,1
2387347694963411672,6
562206148682631912,6
7600716048248972826,13
-3988378635212457670,6
-1269931802774652026,6
8729198669139471579,6
-551634570514840180,2
-6899001202539983799,6
6701977404000280641,6
-2140628345011917312,6
-1416641310641414825,1
-3299239993491156909,6
2207922032865882575,6
-8667086051145763462,2
-7952692742360355799,2
-2281669489761263655,2
5021864125432492011,6
75219830094639980,13
8098125751271273458,6
4285431399989245073,6
4866041672870413027,13
-14738859745464792,2
-9020299283665944738,6
7823614672267247612,13
-213785110841277033,2
