d_3p_del,d_5p_del,d_gene,count
4,4,IGHD5-5*01,35
18,0,IGHD3-3*01,4
1,11,IGHD2-21*01,1
0,3,IGHD1-20*01,7
4,5,IGHD3-3*02,4
2,13,IGHD2-21*01,2
19,6,IGHD3-3*02,2
4,6,IGHD1-26*01,18
0,16,IGHD2/OR15-2b*01,14
3,8,IGHD5-12*01,32
6,9,IGHD5-24*01,1
3,5,IGHD2-8*01,13
0,7,IGHD7-27*01,4
5,16,IGHD3-22*01,1
0,6,IGHD6-6*01,69
12,1,IGHD5-5*01,5
4,5,IGHD5/OR15-5b*01,13
10,14,IGHD2-2*03,5
1,14,IGHD3-3*02,33
9,7,IGHD3-16*01,1
1,19,IGHD2-8*02,1
2,12,IGHD3-16*02,2
10,8,IGHD2-21*01,2
0,8,IGHD1-7*01,14
13,4,IGHD2-8*01,1
6,16,IGHD3-3*02,1
1,16,IGHD3-9*01,7
3,2,IGHD3-22*01,56
13,3,IGHD3-3*01,9
13,2,IGHD3-16*02,10
0,10,IGHD5-24*01,4
13,8,IGHD3-16*02,4
6,11,IGHD3-16*01,1
13,4,IGHD3-10*01,29
10,0,IGHD6-25*01,5
9,2,IGHD2-2*03,9
1,6,IGHD7-27*01,5
8,14,IGHD3-16*02,19
2,8,IGHD6-19*01,46
1,8,IGHD2-2*02,2
8,8,IGHD3-16*02,5
4,7,IGHD3-3*02,2
0,7,IGHD1/OR15-1b*01,11
0,8,IGHD5-24*01,16
16,0,IGHD3-9*01,3
16,6,IGHD3-9*01,9
10,6,IGHD3-9*01,17
5,7,IGHD1-26*01,12
6,7,IGHD3-3*01,17
13,3,IGHD3-10*01,38
0,1,IGHD2-2*02,25
4,10,IGHD2-21*01,75
17,7,IGHD3-16*02,11
1,10,IGHD2-21*01,13
2,3,IGHD2/OR15-2b*01,1
14,2,IGHD3-10*01,18
3,14,IGHD3-3*02,11
0,6,IGHD1-7*01,30
0,18,IGHD3-16*01,6
5,2,IGHD5-12*01,25
1,9,IGHD4-23*01,2
0,6,IGHD3-16*01,1
12,14,IGHD3-16*02,12
12,4,IGHD2-21*02,1
12,16,IGHD3-16*02,10
17,1,IGHD3-3*01,14
0,14,IGHD5/OR15-5b*01,3
7,1,IGHD3/OR15-3b*01,3
3,16,IGHD3-3*02,6
4,0,IGHD2-8*02,2
0,26,IGHD3-16*02,8
13,2,IGHD3-22*01,21
23,10,IGHD3-16*02,1
1,7,IGHD2-2*02,35
12,1,IGHD2-15*01,7
3,16,IGHD5/OR15-5b*01,1
4,15,IGHD3-16*01,3
14,2,IGHD3/OR15-3b*01,2
10,4,IGHD3-10*01,74
1,11,IGHD3-22*01,8
4,7,IGHD6-6*01,16
2,7,IGHD1-20*01,7
5,0,IGHD6-6*01,3
9,3,IGHD3-10*02,2
8,0,IGHD4-23*01,1
23,1,IGHD2/OR15-2b*01,1
10,8,IGHD2-8*02,42
0,13,IGHD2-21*01,7
4,22,IGHD3-16*01,1
9,14,IGHD3/OR15-3b*01,2
7,15,IGHD3-3*02,5
6,6,IGHD3-9*01,31
2,5,IGHD1/OR15-1b*01,9
6,2,IGHD2-21*02,45
5,5,IGHD2-8*01,1
5,4,IGHD3-3*01,15
13,10,IGHD2-15*01,5
3,11,IGHD6-19*01,3
13,7,IGHD2-8*02,8
15,4,IGHD3-16*02,9
5,12,IGHD3-3*02,7
7,0,IGHD2-2*03,15
3,15,IGHD2-21*02,3
1,6,IGHD2-2*03,22
8,15,IGHD3-3*02,4
11,11,IGHD2/OR15-2b*01,1
1,11,IGHD3/OR15-3b*01,5
0,9,IGHD2-21*02,7
11,7,IGHD2-15*01,1
1,2,IGHD3-10*02,1
10,0,IGHD3-16*02,2
12,7,IGHD3-22*01,9
7,9,IGHD3-9*01,5
7,7,IGHD3-9*01,17
0,7,IGHD1-7*01,18
8,12,IGHD3/OR15-3b*01,7
10,1,IGHD2-21*01,1
0,11,IGHD2-21*01,7
16,10,IGHD3-10*02,1
7,9,IGHD3-3*02,3
18,4,IGHD3-3*02,2
1,4,IGHD2-8*01,15
3,1,IGHD1-14*01,1
3,4,IGHD3/OR15-3b*01,4
3,7,IGHD1-14*01,5
3,2,IGHD4-17*01,40
8,3,IGHD1-26*01,7
3,2,IGHD3-9*01,16
2,11,IGHD2-2*03,38
7,10,IGHD2-21*02,16
9,2,IGHD3-3*01,31
3,15,IGHD2-2*02,2
0,8,IGHD5-5*01,4
5,10,IGHD3-3*02,6
4,0,IGHD3-3*01,27
2,28,IGHD3-16*01,3
0,12,IGHD2-8*01,10
0,5,IGHD7-27*01,6
7,3,IGHD5-5*01,1
0,3,IGHD5-5*01,40
2,14,IGHD3-3*02,29
13,3,IGHD2-2*03,2
14,3,IGHD3-3*02,1
6,15,IGHD3-16*02,16
4,9,IGHD2-21*02,16
15,0,IGHD3/OR15-3b*01,2
3,5,IGHD6-25*01,8
1,29,IGHD3-16*02,1
1,12,IGHD6-19*01,7
1,27,IGHD3-16*02,2
15,5,IGHD3-3*02,1
0,10,IGHD1/OR15-1b*01,1
17,6,IGHD3-22*01,3
3,6,IGHD3-10*01,98
12,11,IGHD3-10*02,27
3,5,IGHD2-21*01,2
4,11,IGHD2-21*01,2
8,4,IGHD3-10*01,58
13,4,IGHD2-2*03,3
2,5,IGHD5-24*01,29
8,7,IGHD2-8*02,3
4,10,IGHD5/OR15-5b*01,6
17,6,IGHD3-3*01,2
0,1,IGHD5/OR15-5b*01,8
13,6,IGHD3/OR15-3b*01,4
3,12,IGHD3/OR15-3b*01,2
11,13,IGHD3-10*02,9
9,0,IGHD2-15*01,8
5,5,IGHD5-24*01,13
6,14,IGHD3/OR15-3b*01,3
3,10,IGHD5-5*01,1
7,0,IGHD6-19*01,60
2,0,IGHD3-3*02,5
1,8,IGHD1-26*01,23
1,0,IGHD6-13*01,141
2,2,IGHD2-15*01,10
4,6,IGHD5-5*01,33
10,8,IGHD2/OR15-2b*01,4
