d_5p_del,d_3p_del,d_gene,count
3,2,IGHD7-27*01,4
5,4,IGHD3-3*01,9
2,9,IGHD3-10*01,4
1,8,IGHD5-5*01,1
2,6,IGHD2/OR15-2b*01,1
12,0,IGHD2-15*01,1
0,0,IGHD2-21*01,5
8,3,IGHD2-15*01,2
2,2,IGHD5-24*01,4
3,6,IGHD5-5*01,1
7,15,IGHD3-22*01,2
5,12,IGHD3-10*02,1
4,3,IGHD6-13*01,18
6,13,IGHD2-8*02,1
1,20,IGHD2/OR15-2b*01,1
4,6,IGHD1-1*01,1
15,4,IGHD3-16*02,1
11,7,IGHD3-10*02,2
10,8,IGHD3-16*01,1
7,3,IGHD5/OR15-5b*01,1
5,7,IGHD3-16*02,3
7,0,IGHD2-2*03,9
1,8,IGHD4/OR15-4b*01,1
3,15,IGHD2-21*02,1
4,0,IGHD4-4*01,2
1,6,IGHD2-2*03,24
0,9,IGHD2-21*02,1
1,11,IGHD3-10*01,69
1,1,IGHD1-7*01,2
5,5,IGHD2-21*02,1
0,12,IGHD3-10*01,6
0,2,IGHD2-8*02,2
10,0,IGHD3-16*02,1
17,6,IGHD3-16*02,1
10,0,IGHD5/OR15-5b*01,1
12,7,IGHD3-22*01,5
13,4,IGHD3-22*01,1
17,12,IGHD3-16*02,9
10,11,IGHD3-10*01,25
7,7,IGHD3-9*01,9
0,6,IGHD5-12*01,1
10,7,IGHD3-16*01,1
17,1,IGHD2-2*02,2
17,2,IGHD2-21*01,1
2,8,IGHD2-2*03,1
11,12,IGHD2-8*01,2
3,5,IGHD5-24*01,3
7,21,IGHD3-3*02,1
4,9,IGHD6-19*01,1
5,0,IGHD1-7*01,2
0,1,IGHD2-15*01,8
2,5,IGHD1-26*01,1
4,6,IGHD2-21*02,1
5,3,IGHD2-8*01,1
4,7,IGHD1-26*01,5
0,12,IGHD5/OR15-5b*01,2
10,3,IGHD6-19*01,6
3,7,IGHD1-14*01,2
3,2,IGHD4-17*01,2
12,5,IGHD3-16*02,1
12,15,IGHD3-16*02,1
9,14,IGHD3-10*01,2
12,17,IGHD3-16*02,2
2,5,IGHD5-12*01,1
4,10,IGHD3-22*01,1
17,0,IGHD3-9*01,2
1,10,IGHD3-22*01,3
8,5,IGHD2-21*02,9
3,2,IGHD3-9*01,5
7,9,IGHD6-6*01,3
2,1,IGHD4-4*01,1
10,8,IGHD3-10*01,6
3,8,IGHD3-9*01,2
6,8,IGHD3-22*01,5
5,3,IGHD2-21*01,1
12,2,IGHD3-3*02,1
7,0,IGHD6-13*01,10
12,9,IGHD2-2*03,1
5,10,IGHD3-3*02,2
5,7,IGHD6-19*01,1
6,1,IGHD4-23*01,1
3,1,IGHD1/OR15-1b*01,1
0,9,IGHD6-19*01,4
7,3,IGHD5-5*01,2
4,3,IGHD6-19*01,8
10,4,IGHD2-8*02,2
5,3,IGHD3-3*02,1
14,1,IGHD2/OR15-2b*01,1
0,22,IGHD2-8*02,1
0,3,IGHD5-5*01,5
2,3,IGHD1-26*01,8
6,1,IGHD2-2*03,4
3,4,IGHD3-3*01,4
10,16,IGHD2/OR15-2b*01,1
1,3,IGHD3-3*01,2
0,3,IGHD2-2*03,3
12,5,IGHD2-15*01,1
5,4,IGHD4-17*01,2
5,9,IGHD3-10*01,5
4,9,IGHD2-21*02,1
5,19,IGHD3-3*02,1
0,9,IGHD7-27*01,7
13,2,IGHD2-21*01,1
3,5,IGHD6-25*01,1
2,3,IGHD2-21*02,3
27,3,IGHD3-16*02,1
6,0,IGHD5-24*01,2
6,7,IGHD1-14*01,1
1,1,IGHD3-10*02,1
20,8,IGHD3-16*02,2
20,0,IGHD2/OR15-2b*01,1
1,7,IGHD5-12*01,1
10,0,IGHD3-22*01,2
3,6,IGHD3-10*01,5
22,0,IGHD2-21*02,1
11,11,IGHD3-9*01,1
15,9,IGHD3-3*02,2
5,1,IGHD6-19*01,5
12,6,IGHD3-3*02,1
12,11,IGHD3-10*02,2
3,5,IGHD2-21*01,2
20,5,IGHD3-16*01,1
4,10,IGHD3-10*01,9
8,4,IGHD3-10*01,3
7,8,IGHD6-6*01,1
6,4,IGHD1/OR15-1b*01,2
