j_gene,count
IGHJ3P*02_P,8
IGHJ1P*01_P,29
IGHJ4*01_F,18
IGHJ6*01_F,24
IGHJ5*01_F,27
IGHJ3*01_F,138
IGHJ4*03_F,33
IGHJ6*04_F,114
IGHJ1*01_F,256
IGHJ3P*01_P,27
IGHJ3*02_F,596
IGHJ4*02_F,4042
IGHJ6*02_F,1578
IGHJ5*02_F,1305
IGHJ2*01_F,248
IGHJ2P*01_P,75
IGHJ6*03_F,1471
