vd_insertion,count
21,188
32,4
23,134
34,1
9,4746
36,1
11,3210
38,2
13,2435
24,109
15,1226
26,33
1,5959
28,23
3,8237
30,4
68,1
5,7741
16,857
43,2
7,5742
18,557
20,247
22,216
33,2
8,4491
10,4196
37,2
12,3094
39,1
14,1745
25,43
0,8076
27,19
2,6354
29,29
4,8921
31,9
6,6236
17,528
19,442
