bin_low_edge,contents,binlabel,error
-0.5,0.0,,0.0
0.5,2650.0,A,51.478150704935004
1.5,2357.0,C,48.54894437575342
2.5,2362.0,G,48.60041152089147
3.5,1996.0,T,44.67661580737735
4.5,0.0,,0.0
