j_5p_del,count
10,104
12,110
20,1
14,67
0,1135
16,57
2,381
4,1002
6,623
19,17
9,130
11,191
13,62
27,2
15,75
21,5
1,718
17,30
3,560
5,644
7,396
18,25
8,479
