d_5p_del,d_3p_del,d_gene,count
4,8,IGHD3-22*01,5
0,0,IGHD1-20*01,2
6,5,IGHD5/OR15-5b*01,1
4,5,IGHD3-9*01,1
2,7,IGHD5-12*01,2
11,4,IGHD5/OR15-5b*01,2
17,1,IGHD3-16*01,3
11,14,IGHD2-8*01,1
0,24,IGHD3-9*01,1
5,0,IGHD3-22*01,4
3,15,IGHD3-16*02,1
1,11,IGHD1-1*01,1
22,0,IGHD2/OR15-2b*01,1
8,3,IGHD5/OR15-5b*01,6
4,1,IGHD7-27*01,5
12,3,IGHD3-16*02,1
5,2,IGHD2-15*01,1
4,5,IGHD1-26*01,1
3,9,IGHD3-22*01,3
19,1,IGHD3-16*01,1
5,1,IGHD3-22*01,1
2,1,IGHD4-23*01,1
0,17,IGHD3-10*01,2
2,0,IGHD5-12*01,2
12,6,IGHD3/OR15-3b*01,1
7,13,IGHD2-21*02,2
2,12,IGHD3/OR15-3b*01,1
0,2,IGHD3-10*01,4
14,0,IGHD6-6*01,4
11,4,IGHD3-3*02,1
3,3,IGHD6-13*01,24
4,3,IGHD5-5*01,2
14,12,IGHD3-16*02,2
0,14,IGHD3-3*01,5
1,7,IGHD3-16*02,4
17,8,IGHD3-16*02,13
10,4,IGHD2-21*02,2
4,2,IGHD3-22*01,8
7,13,IGHD3-16*02,2
4,14,IGHD3-3*01,2
14,5,IGHD2-21*01,2
17,2,IGHD3-16*02,12
8,6,IGHD2-15*01,2
4,2,IGHD1-20*01,1
17,4,IGHD2/OR15-2b*01,1
2,5,IGHD1/OR15-1b*01,1
6,3,IGHD5-5*01,4
6,0,IGHD2-2*02,1
4,3,IGHD4-23*01,6
10,16,IGHD3-16*02,1
3,8,IGHD5-5*01,1
0,9,IGHD5-24*01,4
17,1,IGHD2-21*01,10
4,7,IGHD6-6*01,3
6,2,IGHD6-6*01,3
1,5,IGHD3-22*01,16
5,3,IGHD6-19*01,3
0,1,IGHD3/OR15-3b*01,1
2,8,IGHD6-6*01,1
7,16,IGHD3-22*01,1
7,10,IGHD3-10*01,12
7,13,IGHD2-2*03,1
0,5,IGHD6-19*01,10
6,1,IGHD3-16*02,1
3,1,IGHD2-8*01,6
12,5,IGHD2-2*03,1
11,8,IGHD3-16*01,3
0,11,IGHD2-2*02,6
4,23,IGHD3-16*02,1
10,0,IGHD2-21*01,1
3,0,IGHD3-16*02,1
1,6,IGHD2-15*01,10
7,7,IGHD3-3*02,8
14,3,IGHD2-8*01,1
2,5,IGHD5-5*01,3
4,5,IGHD2/OR15-2b*01,1
11,0,IGHD6-13*01,1
3,11,IGHD3-10*02,1
3,0,IGHD1-1*01,2
1,2,IGHD5/OR15-5b*01,1
0,12,IGHD3-3*01,1
5,1,IGHD6-25*01,2
3,7,IGHD3-10*02,2
14,7,IGHD3-3*02,1
10,2,IGHD5-12*01,1
10,8,IGHD3-3*02,8
14,9,IGHD3-9*01,1
9,15,IGHD3-16*02,5
6,7,IGHD2-21*01,1
12,12,IGHD3-16*02,2
0,0,IGHD2-15*01,6
6,4,IGHD3-9*01,3
7,14,IGHD3-9*01,1
16,2,IGHD2-2*03,5
7,1,IGHD3-3*01,1
14,6,IGHD3/OR15-3b*01,1
2,2,IGHD3-22*01,4
0,0,IGHD1-7*01,7
10,9,IGHD3-3*02,2
4,5,IGHD5-24*01,2
13,0,IGHD5-24*01,4
11,0,IGHD4/OR15-4b*01,3
1,4,IGHD2-2*03,6
3,1,IGHD2-15*01,3
3,6,IGHD4-23*01,1
3,4,IGHD3-22*01,2
1,0,IGHD3-10*01,10
7,4,IGHD6-19*01,12
8,4,IGHD5/OR15-5b*01,1
2,11,IGHD3-3*01,1
5,2,IGHD5-12*01,4
10,12,IGHD2-2*03,1
5,9,IGHD5-24*01,2
12,6,IGHD3-16*02,4
5,7,IGHD3-22*01,2
1,8,IGHD2/OR15-2b*01,2
0,4,IGHD6-25*01,5
10,0,IGHD6-19*01,12
6,1,IGHD2-15*01,18
2,0,IGHD6-19*01,17
7,4,IGHD2-2*03,5
1,3,IGHD1-26*01,2
0,4,IGHD2-15*01,2
7,5,IGHD3-3*01,1
3,2,IGHD5-5*01,2
2,4,IGHD6-13*01,2
13,2,IGHD2-15*01,9
1,1,IGHD4-23*01,3
6,12,IGHD2-21*02,1
10,6,IGHD2-2*03,2
1,9,IGHD6-19*01,1
8,16,IGHD3-10*01,1
15,0,IGHD3-3*02,1
3,7,IGHD3-9*01,1
0,6,IGHD2-2*02,4
0,7,IGHD1-26*01,5
14,6,IGHD2-15*01,1
6,6,IGHD3-9*01,10
5,2,IGHD2-2*03,13
0,0,IGHD2/OR15-2b*01,6
5,6,IGHD2-15*01,5
0,7,IGHD3-9*01,3
0,0,IGHD6-25*01,7
1,2,IGHD2-2*03,25
8,0,IGHD5/OR15-5b*01,1
5,4,IGHD2-2*03,1
7,13,IGHD3-3*02,6
15,0,IGHD5/OR15-5b*01,1
1,4,IGHD6-13*01,6
9,7,IGHD3-10*02,1
0,0,IGHD2-21*02,3
6,0,IGHD2-21*02,1
17,5,IGHD3-16*02,3
1,3,IGHD2-8*01,7
12,7,IGHD2-2*03,1
3,6,IGHD6-13*01,1
1,0,IGHD3-22*01,15
5,7,IGHD5-12*01,1
4,13,IGHD3-10*01,5
5,21,IGHD3-16*02,1
7,12,IGHD3-16*02,1
0,5,IGHD3/OR15-3b*01,1
1,7,IGHD3-10*01,3
10,2,IGHD2-2*03,2
2,0,IGHD1/OR15-1b*01,2
12,9,IGHD3-10*02,4
0,2,IGHD2-2*02,17
2,5,IGHD3-10*01,5
7,1,IGHD1/OR15-1b*01,4
2,13,IGHD3-3*02,3
6,0,IGHD3-3*02,2
2,16,IGHD3-9*01,1
9,0,IGHD1-26*01,3
16,1,IGHD3-3*02,1
9,9,IGHD2-15*01,1
5,8,IGHD2-15*01,1
2,7,IGHD3-3*02,1
0,1,IGHD2-8*01,4
10,3,IGHD3-3*02,1
6,9,IGHD2-15*01,2
13,7,IGHD3-9*01,1
8,4,IGHD6-6*01,2
10,0,IGHD6-13*01,2
16,10,IGHD3/OR15-3b*01,4
10,9,IGHD2-2*03,1
7,12,IGHD3-3*01,1
3,6,IGHD2-21*02,1
0,8,IGHD3-16*01,1
17,0,IGHD2-2*03,3
6,3,IGHD6-6*01,2
9,2,IGHD3-10*01,3
0,19,IGHD3-10*01,4
5,1,IGHD1-7*01,1
3,0,IGHD4-4*01,5
8,1,IGHD2-21*02,1
6,6,IGHD3-3*02,1
5,5,IGHD1-26*01,33
1,5,IGHD2-21*01,1
5,4,IGHD3-10*01,11
0,6,IGHD4-23*01,3
16,4,IGHD5/OR15-5b*01,2
5,1,IGHD3-9*01,2
9,14,IGHD3-16*02,2
0,0,IGHD6-19*01,32
3,10,IGHD5-5*01,1
13,0,IGHD2-21*02,3
9,14,IGHD3-22*01,1
4,1,IGHD3-9*01,1
3,5,IGHD3-3*01,11
1,20,IGHD3-22*01,4
14,0,IGHD6-19*01,5
12,0,IGHD2/OR15-2b*01,1
5,6,IGHD6-19*01,1
1,15,IGHD4/OR15-4b*01,1
11,0,IGHD2-15*01,12
8,4,IGHD2-15*01,3
9,5,IGHD3-10*01,9
7,2,IGHD3-10*01,1
24,2,IGHD2/OR15-2b*01,1
3,9,IGHD2-21*01,1
11,5,IGHD3/OR15-3b*01,1
0,13,IGHD5-24*01,3
7,9,IGHD3-9*01,1
15,9,IGHD3-3*02,1
1,4,IGHD6-19*01,3
6,7,IGHD3-22*01,5
14,1,IGHD2-15*01,5
5,20,IGHD3-3*02,1
1,0,IGHD1/OR15-1b*01,1
15,8,IGHD3-3*02,5
3,3,IGHD4-17*01,14
9,4,IGHD1/OR15-1b*01,3
4,9,IGHD3-22*01,11
4,10,IGHD5-24*01,3
14,3,IGHD3-16*02,1
13,0,IGHD2-8*01,1
1,2,IGHD2-21*02,3
8,1,IGHD6-19*01,6
2,7,IGHD2-2*03,4
1,4,IGHD1-14*01,1
5,5,IGHD2-15*01,2
4,10,IGHD3-22*01,1
6,9,IGHD4-23*01,2
4,7,IGHD2-8*01,1
1,3,IGHD3-3*02,1
12,6,IGHD6-19*01,2
4,4,IGHD4-23*01,1
1,3,IGHD2-21*02,2
1,17,IGHD3-22*01,2
1,1,IGHD2-21*02,1
1,1,IGHD3-9*01,6
14,3,IGHD3-10*02,4
12,7,IGHD3-22*01,1
0,1,IGHD5/OR15-5b*01,1
8,6,IGHD1-26*01,11
4,1,IGHD3-16*02,5
12,8,IGHD3-10*02,1
12,1,IGHD3-10*02,3
4,0,IGHD5-5*01,2
0,5,IGHD2-8*01,1
1,10,IGHD2-2*03,3
11,9,IGHD3-10*02,1
11,2,IGHD6-6*01,2
14,9,IGHD3-3*02,1
3,18,IGHD3-9*01,1
7,3,IGHD5-5*01,2
3,6,IGHD5-5*01,1
2,2,IGHD2-2*03,8
5,0,IGHD4-4*01,5
9,17,IGHD3-16*02,1
12,0,IGHD6-19*01,28
1,4,IGHD2-21*02,7
1,12,IGHD3-3*01,2
10,7,IGHD6-6*01,3
10,4,IGHD2-15*01,1
