v_3p_del,v_gene,count
7,IGHV3-33*06,7
2,IGHV3-11*01,17
0,IGHV1/OR15-2*03,35
3,IGHV4-39*06,4
0,IGHV3/OR16-14*91,1
4,IGHV4-34*13,2
6,IGHV3-13*04,1
0,IGHV7-4-1*02,7
2,IGHV3-73*02,39
4,IGHV3-53*04,13
3,IGHV3-43*91,22
5,IGHV4/OR15-8*03,5
3,IGHV1-24*01,16
0,IGHV3-20*01,4
7,IGHV3-73*02,4
0,IGHV3-53*91,2
1,IGHV4-39*01,8
5,IGHV3-9*91,4
0,IGHV3-43*02,2
2,IGHV4/OR15-8*03,86
1,IGHV1-69*13,409
2,IGHV3-53*03,2
0,IGHV2-70*09,11
4,IGHV3-33*02,11
0,IGHV3-30*13,48
2,IGHV3-20*91,68
4,IGHV3-NL1*01,718
1,IGHV5-51*03,31
1,IGHV1/OR15-3*01,29
4,IGHV3-20*01,2
2,IGHV3-49*05,111
0,IGHV4/OR15-8*02,13
1,IGHV3-53*03,76
4,IGHV1-8*91,15
0,IGHV1-69*05,207
3,IGHV5-a*02,6
5,IGHV3-53*03,98
2,IGHV3-33*02,45
6,IGHV3-15*07,16
6,IGHV1/OR15-1*04,3
4,IGHV1-3*01,24
2,IGHV4-39*01,8
6,IGHV3-43*02,5
6,IGHV1-69*10,5
6,IGHV4-34*11,1
4,IGHV4-59*10,10
0,IGHV3-33*05,839
5,IGHV3-h*01,19
2,IGHV1-69*10,22
0,IGHV2-5*91,7
6,IGHV3-30*15,8
5,IGHV3-23*04,485
4,IGHV1-24*01,3
3,IGHV3-11*01,7
0,IGHV5-51*04,26
6,IGHV3-20*91,1
5,IGHV4-34*13,2
0,IGHV3/OR16-9*01,27
3,IGHV2-70*12,10
1,IGHV3-64*05,2
6,IGHV3-NL1*01,176
2,IGHV1-f*01,9
5,IGHV3-53*04,4
8,IGHV4-61*06,1
2,IGHV4-b*02,19
0,IGHV4-61*06,23
2,IGHV3-72*01,18
4,IGHV2-70*13,7
1,IGHV4-55*09,3
3,IGHV3-64*02,18
4,IGHV3-30*05,5
0,IGHV4-30-4*06,371
3,IGHV7-4-1*91,5
3,IGHV4-59*91,2
1,IGHV5-a*04,13
3,IGHV3-33*06,70
0,IGHV5-51*03,119
2,IGHV1-2*04,1
1,IGHV1/OR15-1*02,1
1,IGHV1/OR15-2*03,39
6,IGHV3-38*02,3
2,IGHV3-11*04,30
0,IGHV3-71*01,148
0,IGHV2-70*13,2
2,IGHV3-15*07,82
1,IGHV3-19*01,18
0,IGHV4-30-2*91,50
1,IGHV1-69*05,95
8,IGHV3-15*05,1
0,IGHV3-66*04,79
3,IGHV1-69*05,7
1,IGHV2-5*09,1
0,IGHV4-55*01,2
3,IGHV1-45*02,1
3,IGHV3-72*01,31
2,IGHV4-61*08,79
1,IGHV1-18*01,252
1,IGHV4-30-4*02,1
4,IGHV3-48*01,2
5,IGHV3-15*07,4
1,IGHV3-30*13,37
2,IGHV6-1*02,1
7,IGHV3-71*01,1
2,IGHV2-70*12,22
0,IGHV3-h*02,1118
1,IGHV1-2*04,18
4,IGHV3-66*04,5
7,IGHV4/OR15-8*03,1
3,IGHV3-30*05,1
0,IGHV3-64*05,1
7,IGHV1-2*03,1
1,IGHV4-59*91,4
3,IGHV3-23*03,26
0,IGHV4-61*08,217
1,IGHV4-61*06,37
0,IGHV2-5*01,3
1,IGHV3-9*02,164
0,IGHV3-30-3*01,3
2,IGHV3-33*05,160
1,IGHV3/OR16-9*01,8
0,IGHV2-5*10,5
8,IGHV3-9*02,6
5,IGHV5-a*02,2
2,IGHV3-h*02,201
1,IGHV3-72*01,82
6,IGHV3-9*91,2
2,IGHV3-66*04,29
1,IGHV2-5*91,18
2,IGHV3/OR16-8*02,18
4,IGHV4-b*02,15
1,IGHV1-f*01,18
0,IGHV1-69*10,55
7,IGHV3-11*01,2
1,IGHV5-78*01,5
0,IGHV1-3*01,197
4,IGHV3-66*03,19
1,IGHV1/OR21-1*01,2
1,IGHV1/OR15-3*03,2
4,IGHV4-39*06,3
3,IGHV4-59*10,14
2,IGHV3-48*02,6
1,IGHV3-71*03,33
1,IGHV3-22*02,4
