v_gene,d_gene,j_gene,cdr3_length,v_3p_del,d_5p_del,d_3p_del,j_5p_del,vd_insertion,dj_insertion,count
IGHV3-66*04,IGHD2-15*01,IGHJ1*01_F,72,1,7,4,1,10,12,1
IGHV3-71*01,IGHD3-22*01,IGHJ2*01_F,69,0,10,3,1,16,3,1
IGHV4-b*02,IGHD3-16*02,IGHJ4*02_F,69,1,0,7,0,3,11,1
IGHV3-64*04,IGHD3-22*01,IGHJ6*03_F,75,0,2,0,1,2,2,6
IGHV3-30*15,IGHD6-19*01,IGHJ4*02_F,58,2,5,3,1,7,13,2
IGHV2-70*12,IGHD3-16*02,IGHJ6*03_F,75,3,4,19,7,4,22,3
IGHV1-8*91,IGHD1-26*01,IGHJ6*03_F,60,3,5,6,0,1,10,1
IGHV4-30-4*06,IGHD4-4*01,IGHJ4*01_F,39,8,3,0,4,10,0,1
IGHV3-h*02,IGHD2-21*02,IGHJ4*02_F,36,5,12,5,12,7,7,2
IGHV3-h*02,IGHD2-21*02,IGHJ4*02_F,73,1,4,5,3,14,16,1
IGHV1-2*04,IGHD6-6*01,IGHJ5*02_F,-1,12,8,0,5,3,0,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,1,2,8,0,9,0,2
IGHV4/OR15-8*03,IGHD3-16*02,IGHJ6*03_F,71,0,17,7,0,3,12,1
IGHV3-30-3*02,IGHD3-10*01,IGHJ5*02_F,57,0,2,3,5,5,0,1
IGHV3-NL1*01,IGHD2-15*01,IGHJ5*02_F,73,0,8,4,3,25,1,1
IGHV4-61*02,IGHD2-15*01,IGHJ6*02_F,70,1,11,0,0,0,8,1
IGHV3-h*01,IGHD5-5*01,IGHJ4*02_F,54,2,1,0,1,2,8,1
IGHV5-78*01,IGHD2-21*01,IGHJ6*02_F,-1,78,6,4,37,1,21,1
IGHV1-18*01,IGHD3-3*02,IGHJ6*03_F,75,1,12,3,6,16,7,7
IGHV4-61*02,IGHD3-10*01,IGHJ2*01_F,70,0,2,4,11,22,1,1
IGHV3-h*02,IGHD6-6*01,IGHJ4*02_F,36,3,13,0,0,0,6,1
IGHV1-18*01,IGHD1-26*01,IGHJ4*02_F,-1,13,2,7,9,0,8,1
IGHV5-78*01,IGHD5-12*01,IGHJ4*02_F,45,0,2,3,5,0,6,1
IGHV4-34*13,IGHD4-17*01,IGHJ1*01_F,48,0,4,3,10,17,0,1
IGHV4-59*09,IGHD5-5*01,IGHJ4*02_F,42,0,4,8,6,11,1,1
IGHV5-a*02,IGHD3/OR15-3b*01,IGHJ4*02_F,25,2,11,16,7,2,0,1
IGHV3-23*04,IGHD3-10*01,IGHJ6*02_F,69,1,6,4,17,6,17,1
IGHV3-h*02,IGHD2-15*01,IGHJ6*03_F,75,3,0,0,9,3,10,1
IGHV3-h*01,IGHD3-10*01,IGHJ3*01_F,75,0,10,9,4,16,21,1
IGHV4-59*05,IGHD6-25*01,IGHJ5*02_F,-1,74,0,10,1,0,0,1
IGHV2-70*13,IGHD2-2*03,IGHJ6*03_F,77,1,2,6,5,10,5,1
IGHV3-h*02,IGHD3-3*01,IGHJ6*03_F,75,0,1,8,3,7,6,2
IGHV4/OR15-8*03,IGHD6-13*01,IGHJ6*02_F,81,0,5,0,3,12,13,1
IGHV3/OR16-6*02,IGHD3-10*02,IGHJ6*02_F,74,0,11,5,2,12,7,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,36,0,12,0,11,4,6,4
IGHV4-59*10,IGHD2-2*02,IGHJ6*03_F,66,1,6,2,11,12,0,1
IGHV3-23*04,IGHD2-21*02,IGHJ2P*01_P,45,1,8,11,2,0,5,1
IGHV1-46*02,IGHD3-10*02,IGHJ6*02_F,42,0,12,10,11,2,0,3
IGHV3-11*04,IGHD3-9*01,IGHJ4*02_F,36,0,3,19,5,1,3,1
IGHV3/OR16-13*91,IGHD3-22*01,IGHJ4*02_F,56,2,0,3,6,7,3,1
