v_gene,d_gene,j_gene,cdr3_length,v_3p_del,d_5p_del,d_3p_del,j_5p_del,vd_insertion,dj_insertion,count
IGHV3-13*04,IGHD3-3*01,IGHJ3*02_F,70,1,0,9,0,8,11,1
IGHV3-h*02,IGHD1-26*01,IGHJ6*02_F,36,2,6,6,19,6,0,1
IGHV3-73*02,IGHD5-5*01,IGHJ4*02_F,36,0,6,9,5,0,8,1
IGHV3-h*02,IGHD3-10*01,IGHJ4*02_F,45,1,6,11,5,4,5,1
IGHV4-39*02,IGHD1-26*01,IGHJ6*03_F,66,2,0,3,0,3,5,1
IGHV1-2*04,IGHD4-23*01,IGHJ4*02_F,-1,125,1,1,7,42,14,1
IGHV3-73*02,IGHD1-26*01,IGHJ3*02_F,51,1,3,2,0,5,2,1
IGHV4-30-4*06,IGHD5-5*01,IGHJ4*02_F,69,1,2,0,1,15,10,1
IGHV1-18*01,IGHD3-10*01,IGHJ4*02_F,51,4,4,8,0,7,1,1
IGHV4-59*09,IGHD4-23*01,IGHJ3*02_F,75,0,6,3,1,7,29,1
IGHV3-h*02,IGHD5-5*01,IGHJ4*02_F,75,1,0,0,4,21,11,1
IGHV7-4-1*91,IGHD3-10*01,IGHJ4*02_F,37,8,10,6,5,6,1,1
IGHV1-18*01,IGHD6-13*01,IGHJ4*03_F,-1,0,7,3,16,4,29,1
IGHV3-53*03,IGHD7-27*01,IGHJ4*03_F,36,1,6,0,3,4,3,1
IGHV3-23*04,IGHD1-26*01,IGHJ6*02_F,57,0,1,11,9,9,6,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ4*02_F,57,0,0,1,2,3,8,1
IGHV3-9*02,IGHD2-2*02,IGHJ2*01_F,66,1,0,4,0,5,0,1
IGHV3-h*01,IGHD3-10*01,IGHJ6*02_F,75,0,3,5,5,0,14,1
IGHV3-h*02,IGHD2-2*03,IGHJ6*03_F,69,0,1,6,5,1,6,1
IGHV4-30-4*06,IGHD5-5*01,IGHJ1*01_F,48,4,3,9,2,12,2,1
IGHV3-71*01,IGHD3-10*02,IGHJ6*02_F,39,1,12,13,8,0,0,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ4*02_F,36,2,2,1,12,5,0,1
IGHV4-30-4*06,IGHD3-3*02,IGHJ6*03_F,69,1,10,7,6,16,3,1
IGHV3-23*04,IGHD5/OR15-5b*01,IGHJ6*02_F,36,1,11,4,17,3,0,1
IGHV4-30-4*06,IGHD5-12*01,IGHJ4*02_F,42,5,5,7,12,3,17,1
IGHV3-9*02,IGHD4-17*01,IGHJ6*02_F,66,0,3,1,7,10,6,1
IGHV3-23*04,IGHD3-16*01,IGHJ2*01_F,44,2,19,7,2,1,3,1
IGHV3-66*01,IGHD6-25*01,IGHJ4*02_F,36,0,0,12,0,2,0,1
IGHV3-h*02,IGHD3-22*01,IGHJ3*01_F,75,0,1,2,0,4,13,1
IGHV3-71*01,IGHD3-3*01,IGHJ3*02_F,69,2,0,8,4,11,11,2
IGHV3/OR16-10*03,IGHD5-5*01,IGHJ6*03_F,70,0,2,5,0,12,2,1
IGHV3-49*05,IGHD3/OR15-3b*01,IGHJ6*02_F,75,0,19,0,6,17,9,1
IGHV3-33*06,IGHD2-2*03,IGHJ6*03_F,74,3,6,3,1,5,8,1
IGHV3-71*01,IGHD3-3*01,IGHJ4*02_F,72,0,2,8,0,8,15,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*03_F,75,0,1,2,11,4,11,1
IGHV3-66*03,IGHD6-13*01,IGHJ6*02_F,72,0,0,3,0,7,4,2
IGHV3-h*01,IGHD4-23*01,IGHJ6*02_F,66,0,6,3,3,15,1,1
IGHV3-23*04,IGHD2-21*01,IGHJ4*02_F,69,0,3,1,0,3,14,1
IGHV3-h*02,IGHD3-22*01,IGHJ6*02_F,69,0,2,5,6,8,0,1
IGHV3-49*05,IGHD3-10*01,IGHJ6*03_F,57,2,10,11,4,6,4,2
IGHV4/OR15-8*03,IGHD5-5*01,IGHJ6*03_F,96,1,2,0,2,29,9,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ6*03_F,75,1,0,9,15,21,5,2
IGHV3-h*02,IGHD1-20*01,IGHJ6*02_F,66,0,6,0,3,4,11,7
IGHV3-23*04,IGHD3-9*01,IGHJ4*02_F,36,2,1,17,7,0,4,1
IGHV3-13*03,IGHD3-3*02,IGHJ5*02_F,-1,148,16,3,6,46,9,1
IGHV1-2*03,IGHD5/OR15-5b*01,IGHJ4*02_F,51,1,7,0,5,4,9,1
IGHV3-64*04,IGHD2-2*02,IGHJ6*03_F,75,1,1,0,9,10,2,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ6*02_F,69,0,9,2,4,6,4,1
IGHV3-NL1*01,IGHD2-15*01,IGHJ4*02_F,74,0,1,4,14,24,10,1
IGHV3-7*03,IGHD4-23*01,IGHJ4*02_F,45,0,3,4,4,9,0,1
IGHV3-h*02,IGHD4-17*01,IGHJ6*02_F,75,1,0,0,2,13,6,1
IGHV3-23*04,IGHD5-12*01,IGHJ4*02_F,42,1,8,2,13,8,7,1
IGHV3-7*03,IGHD3-16*02,IGHJ4*02_F,36,0,12,13,11,5,2,1
IGHV3-13*04,IGHD2/OR15-2b*01,IGHJ4*02_F,56,0,10,4,11,15,7,3
IGHV3-7*03,IGHD3-3*01,IGHJ5*02_F,54,0,6,5,5,6,2,1
IGHV3-23*04,IGHD2-8*01,IGHJ4*02_F,73,6,12,3,3,17,21,1
IGHV1/OR15-2*03,IGHD5-5*01,IGHJ4*02_F,44,5,0,6,5,12,0,1
IGHV1-69*13,IGHD3-10*01,IGHJ6*02_F,45,1,10,11,9,0,2,3
IGHV3-9*02,IGHD2-15*01,IGHJ4*02_F,57,0,3,6,6,7,4,1
IGHV3-49*05,IGHD3-10*01,IGHJ3*02_F,56,0,7,9,3,7,7,1
IGHV1-3*02,IGHD6-13*01,IGHJ4*01_F,44,2,2,5,0,3,1,1
IGHV4-61*08,IGHD6-19*01,IGHJ5*02_F,81,0,4,0,0,7,26,1
IGHV1-69*13,IGHD4-17*01,IGHJ4*03_F,-1,0,1,0,16,4,13,1
IGHV3-64*04,IGHD2-2*03,IGHJ4*02_F,36,3,11,10,5,5,1,1
IGHV3-23*04,IGHD6-13*01,IGHJ6*02_F,69,1,5,3,1,9,6,4
IGHV3-23*04,IGHD2-8*01,IGHJ4*02_F,72,6,12,3,3,17,20,1
IGHV3-71*01,IGHD3-10*01,IGHJ6*02_F,72,0,6,0,10,9,5,1
IGHV1-69*10,IGHD5-5*01,IGHJ4*02_F,42,1,0,11,0,3,3,1
IGHV7-4-1*92,IGHD3-22*01,IGHJ4*01_F,-1,0,7,15,16,0,16,1
IGHV7-4-1*92,IGHD3-22*01,IGHJ4*02_F,-1,0,5,11,10,4,0,1
IGHV3-13*03,IGHD2-2*03,IGHJ5*02_F,-1,123,12,3,4,33,0,1
IGHV3-d*01,IGHD2-21*01,IGHJ4*02_F,70,0,1,0,0,7,10,1
IGHV3-7*03,IGHD6-19*01,IGHJ4*02_F,44,0,12,0,0,4,3,1
IGHV4-61*08,IGHD6-13*01,IGHJ6*03_F,-1,1,7,0,37,3,22,1
IGHV3-23*04,IGHD3-16*02,IGHJ4*02_F,97,2,17,13,0,44,20,1
IGHV1-69*13,IGHD3-9*01,IGHJ4*02_F,45,1,2,3,9,1,0,1
IGHV1-69*13,IGHD2-15*01,IGHJ5*02_F,42,0,8,13,4,5,0,2
IGHV3-43*02,IGHD3-3*02,IGHJ6*03_F,75,1,10,3,3,12,4,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ4*02_F,57,1,1,6,4,2,8,1
IGHV3-h*02,IGHD3-10*01,IGHJ4*02_F,66,1,6,5,5,22,2,1
IGHV3-71*01,IGHD2/OR15-2b*01,IGHJ3*02_F,69,0,0,0,4,9,3,1
IGHV3-23*03,IGHD6-13*01,IGHJ4*02_F,36,1,7,4,0,1,0,1
IGHV4-30-4*06,IGHD7-27*01,IGHJ6*03_F,39,0,6,3,6,0,0,1
IGHV3-h*02,IGHD2-2*02,IGHJ6*03_F,72,0,6,1,6,9,2,1
IGHV3-9*02,IGHD1-20*01,IGHJ5*02_F,54,3,6,1,5,12,7,1
IGHV3-23*04,IGHD2-15*01,IGHJ6*02_F,73,1,5,9,3,16,1,1
IGHV5-78*01,IGHD2-21*02,IGHJ6*02_F,-1,81,0,14,37,21,8,1
IGHV3-NL1*01,IGHD3-22*01,IGHJ3*02_F,-1,0,0,6,18,29,7,1
IGHV3-23*04,IGHD1/OR15-1b*01,IGHJ4*02_F,36,2,6,4,2,4,1,2
IGHV3-15*07,IGHD3-22*01,IGHJ6*02_F,-1,1,0,3,36,4,35,1
IGHV3-33*03,IGHD5-5*01,IGHJ5*02_F,-1,1,0,4,19,1,16,1
IGHV4-59*09,IGHD2/OR15-2b*01,IGHJ4*02_F,45,0,16,4,0,4,2,1
IGHV4-61*06,IGHD1-26*01,IGHJ5*02_F,45,5,4,7,7,4,13,2
IGHV5-78*01,IGHD6-19*01,IGHJ6*03_F,-1,83,12,1,37,15,21,1
IGHV1-46*03,IGHD6-13*01,IGHJ6*02_F,42,0,6,3,19,6,0,1
IGHV3-22*02,IGHD3-10*01,IGHJ4*02_F,-1,29,9,11,8,16,7,2
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,75,1,6,0,4,19,8,1
IGHV3-h*01,IGHD6-25*01,IGHJ4*02_F,45,0,5,0,4,0,8,1
IGHV3-64*04,IGHD6-6*01,IGHJ6*02_F,73,0,0,7,4,22,1,1
IGHV1/OR15-2*03,IGHD4-23*01,IGHJ6*03_F,-1,14,3,1,13,15,4,1
IGHV3-NL1*01,IGHD6-13*01,IGHJ6*02_F,57,1,5,5,5,9,0,1
IGHV1-46*03,IGHD3-16*01,IGHJ4*02_F,-1,120,18,8,11,25,14,8
IGHV3-h*02,IGHD3-22*01,IGHJ4*02_F,66,0,0,9,6,3,19,1
IGHV4-34*13,IGHD3-22*01,IGHJ4*02_F,69,0,0,13,0,6,17,1
IGHV3-23*04,IGHD2-15*01,IGHJ4*02_F,57,0,7,0,4,7,2,1
IGHV3-48*03,IGHD3-9*01,IGHJ4*02_F,-1,131,1,4,5,24,2,3
IGHV1-18*01,IGHD2-2*03,IGHJ6*02_F,75,1,1,2,4,2,7,1
IGHV4-61*02,IGHD1-1*01,IGHJ4*02_F,45,1,2,1,0,4,0,1
IGHV3-d*01,IGHD2-2*03,IGHJ3*02_F,75,2,4,7,1,11,19,1
IGHV3-73*02,IGHD6-13*01,IGHJ4*02_F,45,1,7,3,2,9,0,1
IGHV3-h*02,IGHD3-10*01,IGHJ4*02_F,36,0,10,12,5,2,2,2
IGHV1-69*13,IGHD6-13*01,IGHJ4*02_F,45,0,2,3,6,2,5,1
IGHV5-51*02,IGHD3-22*01,IGHJ5*02_F,44,1,5,10,11,6,3,1
IGHV3-23*04,IGHD5-12*01,IGHJ6*02_F,66,1,11,4,5,11,10,1
IGHV3-h*02,IGHD3-22*01,IGHJ4*02_F,72,0,0,7,4,3,21,1
IGHV3-h*01,IGHD3-9*01,IGHJ4*02_F,69,0,2,0,5,5,12,2
IGHV5-78*01,IGHD6-19*01,IGHJ6*02_F,-1,81,6,1,37,7,22,1
IGHV1-8*91,IGHD2-2*03,IGHJ6*03_F,69,1,11,6,13,14,12,1
IGHV3-23*04,IGHD1-7*01,IGHJ3*02_F,45,0,5,0,4,5,2,1
IGHV2-70*13,IGHD6-13*01,IGHJ5*02_F,45,0,5,0,5,1,0,1
IGHV3-23*04,IGHD3-16*02,IGHJ4*02_F,75,0,3,1,1,12,3,10
IGHV3-h*02,IGHD3-3*01,IGHJ6*03_F,75,0,4,4,3,9,3,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ6*02_F,75,3,0,2,5,6,15,1
IGHV3-71*01,IGHD2-2*03,IGHJ6*02_F,73,0,5,10,1,3,12,1
IGHV1-8*91,IGHD3-22*01,IGHJ4*02_F,57,1,2,5,11,12,5,2
IGHV3-h*02,IGHD3/OR15-3b*01,IGHJ4*02_F,36,1,19,0,8,5,0,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ4*02_F,57,1,4,6,3,22,1,1
IGHV5-a*04,IGHD6-6*01,IGHJ4*02_F,42,1,0,4,7,4,6,1
IGHV3-64*04,IGHD6-19*01,IGHJ4*02_F,36,0,12,3,1,3,0,1
IGHV3-53*04,IGHD2-21*01,IGHJ4*02_F,63,1,6,3,4,19,2,1
IGHV1-69*13,IGHD3-22*01,IGHJ4*02_F,48,0,8,8,8,0,13,1
IGHV3/OR16-13*91,IGHD5-5*01,IGHJ4*03_F,-1,1,0,6,16,10,11,1
IGHV1/OR15-2*01,IGHD3-10*01,IGHJ2*01_F,44,4,9,2,15,9,1,1
IGHV3-h*01,IGHD4-23*01,IGHJ6*03_F,72,1,3,3,1,12,6,1
IGHV3-15*07,IGHD3-10*01,IGHJ4*02_F,-1,3,10,13,16,11,16,1
IGHV3-15*07,IGHD5-12*01,IGHJ6*02_F,57,6,9,4,6,7,9,1
IGHV3-h*02,IGHD4-17*01,IGHJ4*02_F,75,0,4,0,0,10,25,1
IGHV3-74*03,IGHD5-24*01,IGHJ4*02_F,36,1,3,9,8,0,9,1
IGHV5-78*01,IGHD3-16*01,IGHJ6*02_F,-1,83,24,1,37,1,32,1
IGHV1-45*02,IGHD3-16*02,IGHJ4*02_F,44,0,10,8,7,0,4,1
IGHV3-9*02,IGHD3-10*01,IGHJ4*02_F,51,3,6,12,4,11,4,1
IGHV3-h*01,IGHD6-6*01,IGHJ1*01_F,36,3,12,1,4,0,6,1
IGHV1-24*01,IGHD3-10*01,IGHJ4*02_F,51,0,3,12,2,3,6,1
IGHV3-7*03,IGHD5-5*01,IGHJ4*02_F,45,1,0,8,6,0,12,1
IGHV3-66*03,IGHD3-3*01,IGHJ3*02_F,73,0,1,4,6,12,11,1
IGHV3-23*04,IGHD3-16*02,IGHJ2*01_F,72,0,17,13,4,8,28,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ5*02_F,83,1,9,11,0,34,8,1
IGHV3-53*91,IGHD2-15*01,IGHJ4*02_F,59,0,8,0,6,3,13,1
IGHV3-NL1*01,IGHD3-16*02,IGHJ4*02_F,45,1,11,11,0,3,0,1
IGHV3-30-3*02,IGHD3-22*01,IGHJ4*02_F,-1,119,1,3,1,9,6,1
IGHV3-74*03,IGHD3-16*02,IGHJ4*02_F,45,0,18,1,6,3,2,2
IGHV3-23*04,IGHD5-24*01,IGHJ4*03_F,36,1,10,2,1,2,0,1
IGHV3-h*01,IGHD7-27*01,IGHJ4*02_F,36,0,2,0,5,4,0,1
IGHV3-20*91,IGHD3-9*01,IGHJ6*02_F,66,1,5,6,21,9,16,1
IGHV3/OR16-15*02,IGHD7-27*01,IGHJ6*03_F,-1,22,2,8,16,0,0,1
IGHV4/OR15-8*03,IGHD3-10*01,IGHJ5*02_F,75,1,0,10,1,14,11,1
IGHV5-51*02,IGHD6-19*01,IGHJ4*02_F,42,0,5,0,10,3,5,1
IGHV4-59*10,IGHD3-16*02,IGHJ5*02_F,75,1,2,12,6,17,11,1
IGHV3-NL1*01,IGHD6-19*01,IGHJ3*01_F,-1,8,6,5,24,8,28,1
IGHV1/OR15-2*03,IGHD5-5*01,IGHJ4*02_F,-1,137,0,9,2,2,45,1
IGHV3-64*04,IGHD6-19*01,IGHJ6*02_F,66,2,8,0,7,8,11,1
IGHV3-h*01,IGHD5-5*01,IGHJ4*02_F,36,0,3,12,4,5,2,1
IGHV3-15*05,IGHD3-3*01,IGHJ6*03_F,75,0,0,9,3,12,1,2
IGHV3-9*02,IGHD2-2*01,IGHJ4*02_F,75,4,0,2,5,21,4,1
IGHV3-73*02,IGHD2-8*01,IGHJ4*02_F,51,4,4,4,8,5,7,1
IGHV6-1*02,IGHD3-9*01,IGHJ4*02_F,36,1,11,16,0,5,0,1
IGHV1-69*13,IGHD3/OR15-3b*01,IGHJ6*02_F,42,6,13,10,8,4,1,11
IGHV4/OR15-8*03,IGHD3-10*01,IGHJ6*02_F,69,0,2,0,6,2,1,1
IGHV3-15*07,IGHD5/OR15-5b*01,IGHJ4*02_F,54,0,1,9,4,9,8,2
IGHV3-20*91,IGHD3-3*01,IGHJ4*02_F,65,0,4,7,9,24,2,1
IGHV3-73*02,IGHD6-19*01,IGHJ5*02_F,45,1,5,0,4,1,2,1
IGHV1-69*13,IGHD6-13*01,IGHJ5*02_F,42,1,8,3,2,0,4,4
IGHV3-h*02,IGHD2-2*03,IGHJ4*02_F,45,1,17,0,7,5,6,2
IGHV3-9*02,IGHD1-26*01,IGHJ6*03_F,75,3,6,2,17,15,23,1
IGHV1-3*01,IGHD6-19*01,IGHJ4*02_F,42,0,7,2,4,5,1,1
IGHV3-66*03,IGHD3-22*01,IGHJ3*01_F,72,0,0,8,1,12,8,1
IGHV1-18*01,IGHD2-2*02,IGHJ5*02_F,60,1,0,0,11,6,4,1
IGHV1-8*91,IGHD4-23*01,IGHJ4*02_F,48,0,0,4,4,3,6,1
IGHV3-11*01,IGHD3-10*01,IGHJ4*02_F,36,0,3,13,8,0,1,1
IGHV3-13*04,IGHD2-15*01,IGHJ5*02_F,73,2,6,1,5,12,13,2
IGHV3-20*91,IGHD3-10*01,IGHJ4*02_F,69,1,1,4,0,5,11,1
IGHV3-NL1*01,IGHD2-2*02,IGHJ5*02_F,74,0,0,11,11,6,28,1
IGHV3-23*04,IGHD2-15*01,IGHJ4*02_F,56,2,14,5,0,18,0,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,2,6,3,1,8,2,1
IGHV3-h*01,IGHD6-13*01,IGHJ6*03_F,69,0,2,0,6,6,7,1
IGHV3-49*05,IGHD6-6*01,IGHJ6*03_F,57,2,4,0,7,4,5,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ3*02_F,66,2,1,2,1,9,2,1
IGHV3-48*04,IGHD6-19*01,IGHJ5*02_F,-1,117,8,3,3,31,16,1
IGHV3-30-3*02,IGHD3-10*01,IGHJ6*02_F,75,0,4,9,6,10,10,2
IGHV5-51*02,IGHD1-26*01,IGHJ4*02_F,44,0,8,0,7,3,8,1
IGHV4-61*02,IGHD3/OR15-3b*01,IGHJ4*02_F,46,1,2,10,8,0,8,1
IGHV1-46*02,IGHD6-19*01,IGHJ4*02_F,39,1,7,1,3,2,0,1
IGHV3-h*02,IGHD4-17*01,IGHJ4*02_F,36,0,3,4,5,3,1,1
IGHV3-NL1*01,IGHD4-23*01,IGHJ6*02_F,74,0,1,6,5,19,5,1
IGHV3-9*02,IGHD3-22*01,IGHJ4*02_F,-1,16,0,7,6,28,13,1
IGHV1-8*91,IGHD4-17*01,IGHJ5*02_F,46,0,1,4,3,2,5,1
IGHV3-h*01,IGHD3-22*01,IGHJ6*02_F,75,3,5,0,6,5,10,1
IGHV3-23*04,IGHD3-16*02,IGHJ4*02_F,36,3,17,14,5,9,1,1
IGHV1/OR15-3*03,IGHD3/OR15-3b*01,IGHJ4*02_F,49,0,9,2,5,8,0,1
IGHV1-c*01,IGHD2/OR15-2b*01,IGHJ4*02_F,-1,0,28,0,5,0,1,2
IGHV3-66*03,IGHD2-15*01,IGHJ6*02_F,73,1,11,0,19,13,17,1
IGHV5-78*01,IGHD6-19*01,IGHJ2P*01_P,-1,83,12,1,31,15,25,1
IGHV3-NL1*01,IGHD3-16*02,IGHJ4*01_F,47,0,17,14,3,9,7,1
IGHV3-52*01,IGHD2-15*01,IGHJ5*02_F,-1,127,7,1,12,17,15,1
IGHV3-h*01,IGHD2-2*03,IGHJ6*03_F,69,2,4,5,0,6,0,1
IGHV4-30-4*06,IGHD1-1*01,IGHJ5*02_F,-1,0,3,4,19,6,16,1
IGHV1/OR21-1*01,IGHD6-6*01,IGHJ4*02_F,14,5,16,0,11,0,0,1
IGHV1-18*01,IGHD4/OR15-4b*01,IGHJ4*02_F,48,0,0,4,12,5,12,1
IGHV1-69*13,IGHD3-10*01,IGHJ4*02_F,48,3,10,7,5,7,7,1
IGHV1-69*13,IGHD3-16*02,IGHJ5*02_F,48,0,17,7,6,8,2,2
IGHV1-18*01,IGHD1-26*01,IGHJ3*02_F,45,1,8,2,1,6,1,1
IGHV4-61*02,IGHD3-16*02,IGHJ6*02_F,69,0,7,7,5,7,1,1
IGHV3-74*03,IGHD3-10*01,IGHJ6*02_F,73,0,1,4,5,5,4,2
IGHV3-71*01,IGHD5-5*01,IGHJ6*03_F,69,3,0,0,14,10,13,1
IGHV3-h*02,IGHD2-2*02,IGHJ6*03_F,72,1,5,2,5,9,2,1
IGHV3-h*02,IGHD1-14*01,IGHJ5*02_F,39,0,7,0,2,0,0,2
IGHV3-64*04,IGHD3-10*01,IGHJ4*02_F,45,0,3,15,1,0,5,3
IGHV4-61*02,IGHD3-22*01,IGHJ2*01_F,72,0,2,6,1,14,3,1
IGHV3-23*04,IGHD2-2*03,IGHJ4*02_F,72,0,2,2,0,5,12,2
IGHV4-34*13,IGHD3-16*02,IGHJ5*02_F,44,1,8,9,14,3,5,1
IGHV3-h*02,IGHD3-3*01,IGHJ6*03_F,75,1,2,14,3,15,6,1
IGHV1-2*05,IGHD3/OR15-3b*01,IGHJ4*02_F,-1,5,1,22,15,0,28,2
IGHV3-74*03,IGHD7-27*01,IGHJ4*02_F,36,0,0,0,7,1,3,1
IGHV3-64*91,IGHD3-16*02,IGHJ4*02_F,75,2,6,10,8,10,26,3
IGHV3-66*03,IGHD3-9*01,IGHJ6*02_F,75,0,0,10,6,6,11,1
IGHV3-49*05,IGHD4-17*01,IGHJ4*03_F,57,1,4,0,2,5,15,1
IGHV3-64*04,IGHD6-25*01,IGHJ6*03_F,45,0,8,3,7,0,2,1
IGHV1-69*10,IGHD2-8*01,IGHJ5*02_F,24,4,11,13,11,1,0,1
IGHV3-h*01,IGHD3-22*01,IGHJ4*02_F,73,3,0,0,0,16,1,1
IGHV3-53*03,IGHD2/OR15-2b*01,IGHJ4*02_F,24,7,28,0,5,2,3,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ3*02_F,57,2,11,5,0,7,7,1
IGHV3-53*04,IGHD2-2*03,IGHJ4*02_F,58,2,8,3,5,12,5,3
IGHV3-h*02,IGHD3-10*01,IGHJ4*02_F,69,0,0,9,7,21,5,1
IGHV3-53*04,IGHD3-22*01,IGHJ4*02_F,60,0,2,3,0,2,4,1
IGHV1-46*02,IGHD3-22*01,IGHJ4*02_F,42,2,10,6,5,3,3,1
IGHV3-71*02,IGHD2/OR15-2b*01,IGHJ4*03_F,-1,0,5,0,16,12,23,1
IGHV3-48*02,IGHD4-17*01,IGHJ4*02_F,36,4,3,4,11,7,7,1
IGHV1-69*13,IGHD7-27*01,IGHJ3*02_F,15,1,1,9,16,0,1,4
IGHV3/OR16-9*01,IGHD3-9*01,IGHJ6*02_F,-1,8,11,4,6,18,12,1
IGHV3-23*04,IGHD5-12*01,IGHJ5*02_F,71,1,3,1,0,12,10,1
IGHV4-61*07,IGHD3-16*01,IGHJ4*02_F,71,1,24,0,3,20,14,1
IGHV5-78*01,IGHD6-19*01,IGHJ6*02_F,-1,83,12,1,37,15,22,1
IGHV3-23*04,IGHD5-24*01,IGHJ6*03_F,57,2,0,13,6,6,9,2
IGHV3-11*04,IGHD1-26*01,IGHJ4*02_F,36,1,0,3,14,2,4,1
IGHV4-61*02,IGHD3-22*01,IGHJ4*02_F,69,1,0,12,1,16,8,1
IGHV4/OR15-8*03,IGHD3-16*02,IGHJ4*02_F,72,1,4,1,2,8,7,1
IGHV3-h*02,IGHD4-17*01,IGHJ6*03_F,71,0,1,3,7,15,8,1
IGHV3-64*04,IGHD3-10*01,IGHJ6*02_F,75,1,0,5,5,4,8,2
IGHV4-59*09,IGHD3-22*01,IGHJ4*02_F,-1,0,5,6,23,5,14,1
IGHV4-b*02,IGHD2-15*01,IGHJ6*03_F,69,1,6,1,4,6,3,1
IGHV3-h*01,IGHD6-19*01,IGHJ4*02_F,44,0,6,6,0,3,4,2
IGHV3-NL1*01,IGHD5-5*01,IGHJ4*02_F,36,2,2,4,12,5,3,1
IGHV3-NL1*01,IGHD4/OR15-4b*01,IGHJ4*02_F,56,0,9,0,2,5,15,1
IGHV3-h*01,IGHD5/OR15-5b*01,IGHJ5*02_F,45,0,13,0,4,3,5,1
IGHV1-NL1*91,IGHD6-25*01,IGHJ4*02_F,-1,2,3,0,15,5,18,1
IGHV3-25*05,IGHD6-6*01,IGHJ6*03_F,-1,0,8,7,37,3,1,2
IGHV3-71*01,IGHD4-23*01,IGHJ6*02_F,75,0,1,1,0,7,8,1
IGHV3-53*02,IGHD1-20*01,IGHJ6*02_F,57,1,3,0,7,10,0,2
IGHV3-23*04,IGHD2-15*01,IGHJ6*02_F,58,3,1,5,15,1,7,1
IGHV4-34*11,IGHD6-19*01,IGHJ4*02_F,42,0,9,2,2,0,6,1
IGHV4/OR15-8*03,IGHD3-3*01,IGHJ4*02_F,69,0,0,3,6,6,13,1
IGHV3-74*03,IGHD5-5*01,IGHJ5*02_F,51,1,4,9,3,4,13,1
IGHV3-13*04,IGHD6-13*01,IGHJ6*03_F,66,2,4,2,14,16,8,1
IGHV3-48*04,IGHD1/OR15-1b*01,IGHJ4*02_F,42,0,0,4,1,2,0,1
IGHV3-d*01,IGHD3-22*01,IGHJ4*02_F,75,0,8,4,5,1,34,1
IGHV3-53*91,IGHD2-2*02,IGHJ6*03_F,59,3,10,1,3,0,4,1
IGHV3-23*04,IGHD3-16*02,IGHJ4*02_F,-1,1,17,0,16,2,11,1
IGHV3-9*02,IGHD2-2*03,IGHJ2*01_F,73,2,1,2,3,4,11,1
IGHV3-NL1*01,IGHD2-15*01,IGHJ6*02_F,75,1,4,5,9,4,16,1
IGHV1-18*01,IGHD2-21*02,IGHJ4*02_F,75,3,7,1,0,24,6,1
IGHV5-78*01,IGHD3-16*02,IGHJ6*02_F,-1,77,11,16,37,21,8,1
IGHV3-h*01,IGHD2-15*01,IGHJ6*02_F,72,0,2,11,3,14,0,1
IGHV3-d*01,IGHD6-19*01,IGHJ4*02_F,-1,14,0,9,0,12,0,1
IGHV3-23*04,IGHD6-19*01,IGHJ4*02_F,51,4,0,0,2,2,6,1
IGHV3-23*04,IGHD6-13*01,IGHJ4*02_F,45,0,6,0,2,1,3,2
IGHV3-h*02,IGHD2-2*03,IGHJ6*03_F,57,4,10,5,0,2,0,1
IGHV1-8*91,IGHD4-23*01,IGHJ4*02_F,64,1,3,0,5,13,13,1
IGHV3-20*91,IGHD3-22*01,IGHJ6*02_F,69,1,12,5,6,16,3,4
IGHV3-23*03,IGHD2-15*01,IGHJ6*03_F,57,0,1,6,16,3,5,1
IGHV3-NL1*01,IGHD2/OR15-2b*01,IGHJ4*02_F,57,5,13,3,1,9,11,1
IGHV3-64*04,IGHD3-22*01,IGHJ4*02_F,57,0,2,3,7,5,5,1
IGHV5-51*02,IGHD3-22*01,IGHJ3*02_F,75,1,0,7,0,16,6,1
IGHV3-33*05,IGHD6-6*01,IGHJ6*02_F,39,1,16,0,5,0,0,2
IGHV4-61*08,IGHD2-21*02,IGHJ4*02_F,-1,0,5,2,16,2,9,1
IGHV3-h*02,IGHD3-22*01,IGHJ3*02_F,75,4,6,3,1,19,9,2
IGHV3-64*04,IGHD3-16*01,IGHJ4*02_F,69,0,19,0,2,16,9,1
IGHV4-34*13,IGHD3-22*01,IGHJ4*02_F,70,0,1,7,6,12,13,1
IGHV3-NL1*01,IGHD3-9*01,IGHJ6*03_F,73,5,1,1,6,7,5,2
IGHV1-69*13,IGHD1-26*01,IGHJ4*02_F,45,0,6,2,1,1,5,1
IGHV1-NL1*91,IGHD2-2*03,IGHJ4*02_F,42,2,6,9,3,2,1,1
