d_3p_del,d_5p_del,d_gene,count
1,6,IGHD3-3*02,2
2,13,IGHD3/OR15-3b*01,4
0,12,IGHD6-25*01,3
0,0,IGHD4-4*01,82
0,8,IGHD3-10*01,42
8,0,IGHD4/OR15-4b*01,4
11,8,IGHD3-22*01,3
13,13,IGHD3-9*01,2
2,0,IGHD4-23*01,7
7,19,IGHD3-16*02,5
5,9,IGHD2-21*02,7
5,1,IGHD6-13*01,13
2,0,IGHD1-26*01,116
16,10,IGHD3-16*02,10
8,19,IGHD3-16*01,5
2,19,IGHD2-2*02,1
4,12,IGHD2-21*02,1
8,5,IGHD5-12*01,6
3,8,IGHD5/OR15-5b*01,4
6,4,IGHD2-21*02,8
13,2,IGHD3-10*01,33
1,11,IGHD6-19*01,12
10,6,IGHD3-10*01,87
1,14,IGHD3-22*01,2
4,10,IGHD5-24*01,1
1,2,IGHD3-22*01,5
2,0,IGHD3-9*01,11
6,7,IGHD3-10*01,97
0,17,IGHD3/OR15-3b*01,34
19,0,IGHD2-2*02,1
7,5,IGHD2-15*01,14
7,1,IGHD2-2*03,50
9,6,IGHD3-3*01,36
1,3,IGHD5-5*01,51
15,12,IGHD3-9*01,2
7,4,IGHD4-23*01,22
15,7,IGHD3-3*01,2
11,15,IGHD3-16*02,8
4,4,IGHD4-17*01,12
7,7,IGHD1-26*01,8
0,9,IGHD5-12*01,66
13,9,IGHD2-8*02,1
3,8,IGHD6-13*01,63
11,19,IGHD3-16*02,2
17,2,IGHD3-3*01,6
2,6,IGHD3-9*01,17
3,13,IGHD2/OR15-2b*01,1
6,0,IGHD3-9*01,63
21,2,IGHD2-8*02,1
7,5,IGHD3-10*01,99
11,7,IGHD3-16*02,3
13,0,IGHD3/OR15-3b*01,2
4,3,IGHD2-2*03,6
12,11,IGHD3-9*01,3
5,7,IGHD2-8*02,1
4,12,IGHD2-21*01,4
3,10,IGHD2-15*01,17
9,4,IGHD3-3*01,19
5,2,IGHD5-24*01,11
14,0,IGHD3-3*01,27
22,1,IGHD3-16*02,4
14,1,IGHD3-3*02,1
14,5,IGHD3-10*01,9
3,0,IGHD4/OR15-4b*01,9
4,0,IGHD6-25*01,76
0,11,IGHD3-10*02,49
16,8,IGHD3-16*02,1
13,13,IGHD3/OR15-3b*01,3
