j_gene,count
IGHJ4*01_F,265
IGHJ6*01_F,24
IGHJ5*01_F,27
IGHJ3*01_F,1305
IGHJ4*03_F,79
IGHJ6*04_F,294
IGHJ1*01_F,2281
IGHJ3*02_F,7068
IGHJ4*02_F,46244
IGHJ6*02_F,10283
IGHJ6*03_F,9777
IGHJ2*01_F,2439
IGHJ2P*01_P,76
IGHJ5*02_F,5469
