v_5p_del,v_gene,count
236,IGHV3-71*01,2
209,IGHV3-71*03,1
233,IGHV2-5*09,1
182,IGHV3-h*01,13
161,IGHV4-34*13,86
209,IGHV6-1*02,1
218,IGHV1-8*91,11
161,IGHV4-30-4*06,15
203,IGHV1-2*03,3
220,IGHV1-46*02,1
113,IGHV4-59*09,1
224,IGHV3-73*02,28
203,IGHV4-59*10,7
200,IGHV4-61*08,2
227,IGHV3-47*02,1
200,IGHV3-11*04,23
245,IGHV3-72*01,6
212,IGHV3-NL1*01,3
229,IGHV3-h*02,2
203,IGHV4-59*91,2
227,IGHV3/OR16-6*02,1
188,IGHV1-69*10,21
212,IGHV1-8*91,10
194,IGHV3/OR16-9*01,5
209,IGHV1-46*03,1
242,IGHV3-73*02,10
227,IGHV3-NL1*01,2
221,IGHV4-61*02,17
224,IGHV1-58*02,2
200,IGHV3/OR16-9*01,8
206,IGHV3-11*01,4
224,IGHV1-46*03,1
209,IGHV1-f*01,35
227,IGHV1-46*02,3
227,IGHV5-a*04,3
194,IGHV3-49*05,3
237,IGHV3-23*04,1
208,IGHV5-a*02,13
218,IGHV4-59*10,3
230,IGHV3-47*01,1
218,IGHV1-24*01,3
227,IGHV4-59*10,1
220,IGHV3-64*04,4
233,IGHV1-8*91,27
233,IGHV4-59*10,14
206,IGHV1-69*10,14
206,IGHV5-78*01,1
242,IGHV4-61*08,6
214,IGHV4-b*02,1
218,IGHV4-61*08,3
206,IGHV2-70*11,3
206,IGHV3/OR16-12*01,2
202,IGHV3-74*03,1
236,IGHV1-8*91,28
206,IGHV4-4*07,182
239,IGHV4-61*08,72
218,IGHV1-NL1*91,2
251,IGHV3-9*02,1
215,IGHV1-69*13,22
188,IGHV5-51*04,1
230,IGHV1/OR15-4*01,1
194,IGHV3-15*07,1
221,IGHV3-NL1*01,16776
234,IGHV4/OR15-8*03,3
236,IGHV1-3*01,3
218,IGHV1-2*04,3
254,IGHV4-61*02,8
227,IGHV3-53*03,2
206,IGHV5-a*04,10
236,IGHV3-30*15,3
197,IGHV3-64*04,1
218,IGHV3-15*07,3
218,IGHV5-a*04,23
233,IGHV4-55*09,4
220,IGHV3-NL1*01,4
200,IGHV3-9*02,8
218,IGHV1-18*03,3
212,IGHV4/OR15-8*03,13
234,IGHV4-b*02,1
230,IGHV3-33*06,7
239,IGHV3-21*03,7
248,IGHV3-71*01,4
215,IGHV4-61*02,34
238,IGHV3-33*02,6
233,IGHV4-59*08,1
164,IGHV4-59*09,1
209,IGHV5-51*03,74
227,IGHV1-45*02,2
227,IGHV3-33*05,1
227,IGHV4-61*08,1
136,IGHV4-4*91,1
212,IGHV1/OR15-2*03,30
236,IGHV1-18*01,12
224,IGHV1/OR15-1*04,1
203,IGHV3-38*01,2
230,IGHV3-71*01,3
221,IGHV3-15*07,1
203,IGHV3-d*01,10
131,IGHV4-59*09,2
221,IGHV4-59*91,1
209,IGHV3-43*91,34
197,IGHV3-h*01,225
209,IGHV3-33*03,129
221,IGHV1-18*03,1
194,IGHV3-h*02,3
227,IGHV1-8*91,4
197,IGHV3-7*03,1
212,IGHV1-24*01,2
218,IGHV1-2*03,8
221,IGHV5-a*04,3
215,IGHV4-39*06,2
209,IGHV4-61*03,4
209,IGHV4-39*06,7
139,IGHV4-34*13,8
203,IGHV5-51*04,1
185,IGHV3-43*02,1
215,IGHV1-69*10,2
218,IGHV3-7*03,4
188,IGHV4-30-4*06,1
211,IGHV4-61*03,4
206,IGHV3-NL1*01,5
227,IGHV3-66*01,31
227,IGHV3-49*05,1237
200,IGHV4-4*07,1
214,IGHV1-2*04,1
212,IGHV4-61*03,27
211,IGHV2-5*91,1
224,IGHV5-51*02,6
217,IGHV4-61*08,12
209,IGHV3-h*02,2
212,IGHV4-59*08,1
227,IGHV3-33*02,3
248,IGHV4-59*10,1
208,IGHV1-69*05,2
203,IGHV4-34*11,4
203,IGHV4-34*09,1
239,IGHV3-30*15,31
233,IGHV4/OR15-8*03,111
221,IGHV1-2*03,26
158,IGHV4-34*13,51
209,IGHV1/OR15-2*01,1
200,IGHV3-43*91,1
140,IGHV4-30-4*06,244
215,IGHV1/OR15-2*03,16
215,IGHV3-33*03,1
215,IGHV3-33*02,2
224,IGHV3-33*06,2
224,IGHV3-15*07,8
212,IGHV3-23*04,157
206,IGHV4-34*11,2
218,IGHV1-46*02,7
215,IGHV3-73*02,97
221,IGHV4-55*01,2
194,IGHV1-3*01,1
171,IGHV4-30-4*06,1
211,IGHV2-70*12,1
215,IGHV1-24*01,2
191,IGHV2-70*12,1
206,IGHV3-30*13,2
227,IGHV1-18*01,1
203,IGHV4-b*02,7
230,IGHV1/OR15-1*04,1
227,IGHV3-48*02,1
209,IGHV3-15*07,21
214,IGHV4/OR15-8*03,2
208,IGHV3-33*03,3
212,IGHV3-74*03,2
212,IGHV3-30*19,2
224,IGHV3-33*05,2
209,IGHV3-33*06,48
208,IGHV1-f*01,2
211,IGHV4-4*07,3
233,IGHV3-66*01,3
221,IGHV1/OR15-3*03,5
251,IGHV4/OR15-8*03,60
233,IGHV3-35*01,3
209,IGHV3-23*04,1122
218,IGHV3-33*02,2
239,IGHV5-51*02,57
212,IGHV1/OR15-1*04,1
233,IGHV1-f*01,1
223,IGHV3-49*05,1
125,IGHV4-59*09,2
212,IGHV1/OR15-3*02,3
221,IGHV3-20*91,6
221,IGHV3-30*13,89
170,IGHV4-59*09,2
209,IGHV3-64*02,11
239,IGHV3-20*91,31
212,IGHV1-2*04,1
206,IGHV3-53*01,97
188,IGHV4/OR15-8*02,1
209,IGHV3-21*03,8
221,IGHV3-23*04,19207
203,IGHV3-23*04,5
212,IGHV3/OR16-14*91,1
205,IGHV3-53*01,1
134,IGHV4-30-4*06,716
230,IGHV3-43*91,59
236,IGHV4-61*02,51
229,IGHV3-h*01,1
221,IGHV4-55*08,1
236,IGHV3-53*04,1
221,IGHV3-53*91,16
239,IGHV3-74*03,46
203,IGHV3-74*03,4
203,IGHV3-h*02,15
227,IGHV3-64*04,1
241,IGHV3-71*02,1
211,IGHV4/OR15-8*02,1
206,IGHV4-b*02,19
230,IGHV1-2*03,5
245,IGHV5-51*02,4
200,IGHV3-23*03,22
208,IGHV1-69*13,16
248,IGHV2/OR16-5*01,1
218,IGHV1-f*01,1
203,IGHV4-4*07,18
182,IGHV4-61*06,3
230,IGHV3-43*02,11
218,IGHV1-69*13,16
209,IGHV3-23*03,232
218,IGHV4-28*04,1
224,IGHV4-61*02,34
167,IGHV4-30-4*06,69
212,IGHV3-71*03,1
242,IGHV2-70*12,6
209,IGHV3-48*01,27
200,IGHV3-9*91,1
137,IGHV4-61*07,10
230,IGHV3-20*01,14
232,IGHV4/OR15-8*03,1
149,IGHV4-30-4*06,4
235,IGHV3-74*03,1
209,IGHV3-30*05,1
203,IGHV3-43*91,1
239,IGHV3-9*02,83
221,IGHV5-51*02,57
236,IGHV4-39*06,25
224,IGHV1-18*01,23
239,IGHV6-1*02,1
238,IGHV3-30*15,1
221,IGHV1/OR15-9*01,2
197,IGHV1-69*13,1
208,IGHV1-3*01,7
212,IGHV3-9*02,1
206,IGHV3-64*04,3
221,IGHV1-f*01,15
240,IGHV1-8*91,1
167,IGHV4-61*07,6
