v_5p_del,v_gene,count
254,IGHV1/OR15-3*02,1
209,IGHV1-46*02,6
260,IGHV1-8*91,2
230,IGHV1-3*01,1
224,IGHV2-70*13,1
200,IGHV3-20*91,12
251,IGHV3-53*04,2
230,IGHV3-23*04,16
209,IGHV4-59*10,25
209,IGHV3-23*02,4
221,IGHV3-71*01,1
203,IGHV1/OR15-1*04,3
215,IGHV3-30*15,1
185,IGHV3-64*02,1
209,IGHV3-48*02,41
251,IGHV3-h*02,2
206,IGHV3-66*03,134
209,IGHV3-30*15,122
212,IGHV3-11*04,1
239,IGHV1/OR15-2*03,2
221,IGHV3-9*02,56
248,IGHV4-61*08,11
208,IGHV3/OR16-9*01,1
203,IGHV3-43*02,2
221,IGHV5-51*03,80
220,IGHV5-a*02,2
251,IGHV3-64*91,1
200,IGHV3/OR16-14*01,1
224,IGHV1/OR15-1*02,1
221,IGHV3-48*02,18
221,IGHV3-33*02,139
221,IGHV3-7*03,31
212,IGHV1-69*13,79
239,IGHV4/OR15-8*03,2
188,IGHV1-46*03,1
233,IGHV3-64*04,25
220,IGHV3-33*06,1
236,IGHV1-2*03,6
205,IGHV4-59*10,2
215,IGHV3-15*05,5
215,IGHV3-NL1*01,8
209,IGHV1-24*01,2
160,IGHV4-34*13,1
236,IGHV3-72*01,15
212,IGHV1/OR15-3*01,1
224,IGHV4-30-2*01,2
230,IGHV3-h*02,51
243,IGHV3-73*02,1
215,IGHV3-53*03,3
254,IGHV4-39*01,1
223,IGHV3-15*07,1
224,IGHV4-61*08,40
239,IGHV3-20*01,1
236,IGHV3/OR16-12*01,2
209,IGHV1-69*13,435
208,IGHV3-15*07,1
215,IGHV5-a*04,8
215,IGHV4-61*03,14
215,IGHV1-3*01,19
221,IGHV7-4-1*91,21
209,IGHV1-3*01,251
209,IGHV5-51*02,42
224,IGHV3-30*15,1
242,IGHV3-72*01,4
211,IGHV4-30-2*91,3
251,IGHV3-15*07,1
217,IGHV4-61*03,1
209,IGHV1-8*91,64
212,IGHV3-33*02,10
248,IGHV4/OR15-8*03,1
221,IGHV1-69*13,429
221,IGHV3-35*01,21
209,IGHV1/OR21-1*01,1
185,IGHV3-NL1*01,8
212,IGHV3-h*01,1
191,IGHV3-15*07,1
197,IGHV3-h*02,341
235,IGHV3-h*01,7
209,IGHV3/OR16-8*01,1
203,IGHV3-30*15,1
239,IGHV2-5*10,1
200,IGHV3-33*05,56
206,IGHV4-39*02,1
203,IGHV1-18*01,17
215,IGHV4-39*01,2
212,IGHV3/OR16-12*01,2
209,IGHV4-39*07,2
212,IGHV4-39*02,2
251,IGHV4-61*08,1
218,IGHV1/OR15-9*01,2
218,IGHV3/OR16-12*01,1
134,IGHV4-34*13,48
240,IGHV5-51*02,1
200,IGHV1-3*01,1
197,IGHV3-53*01,47
218,IGHV3-23*04,23
233,IGHV4-39*06,1
206,IGHV1-18*01,57
236,IGHV3-33*02,137
209,IGHV3-53*02,7
212,IGHV4-61*02,178
140,IGHV4-61*07,16
185,IGHV3-7*03,1
200,IGHV3-43*02,5
197,IGHV3-66*01,3
209,IGHV3-11*04,172
188,IGHV1-8*91,4
254,IGHV3-23*04,2
203,IGHV1-8*02,3
236,IGHV3-66*03,13
221,IGHV3-30*15,1791
227,IGHV3-33*06,1
224,IGHV3-64*04,1
209,IGHV3-64*04,550
245,IGHV3-71*01,134
221,IGHV3/OR16-13*91,12
236,IGHV4-39*02,1
188,IGHV1-3*01,2
190,IGHV1-3*01,1
236,IGHV3-21*03,1
211,IGHV1-f*01,1
260,IGHV3-71*01,3
215,IGHV3/OR16-6*02,1
238,IGHV3-9*02,1
215,IGHV3-7*03,6
218,IGHV1/OR15-2*03,11
236,IGHV4-61*08,89
248,IGHV4-59*08,1
224,IGHV3-49*05,8
221,IGHV3-43*02,5
230,IGHV3/OR16-9*01,3
233,IGHV6-1*02,1
164,IGHV4-61*07,29
139,IGHV4-30-4*06,33
197,IGHV3-30-3*01,1
239,IGHV3/OR16-8*02,18
233,IGHV1-2*03,1
188,IGHV3-11*01,2
237,IGHV5-a*04,1
227,IGHV3-13*04,18
240,IGHV3-72*01,1
236,IGHV3-h*01,191
203,IGHV3-38*02,1
218,IGHV3/OR16-10*03,1
239,IGHV1-18*03,1
239,IGHV3-48*02,3
208,IGHV3-23*04,29
230,IGHV3-13*04,7
212,IGHV1-3*01,17
239,IGHV3-15*07,12
206,IGHV1-f*01,10
214,IGHV4-61*08,1
220,IGHV3-53*91,2
206,IGHV4-61*03,3
224,IGHV3-53*02,14
191,IGHV4-39*01,1
221,IGHV1/OR15-2*03,55
194,IGHV3-72*01,7
209,IGHV1-2*03,8
208,IGHV3/OR16-13*91,1
215,IGHV1-2*03,10
220,IGHV3-23*04,6
209,IGHV5-a*04,5
176,IGHV4-34*13,54
131,IGHV4-34*13,11
233,IGHV3-h*02,34
209,IGHV3-20*01,8
161,IGHV4-59*09,21
212,IGHV1-18*03,1
242,IGHV3-71*01,27
217,IGHV3-23*03,1
239,IGHV1/OR15-3*02,1
243,IGHV6-1*02,1
215,IGHV3-38*02,14
200,IGHV3-74*03,178
236,IGHV4-30-2*91,15
235,IGHV3-66*03,1
214,IGHV3-15*07,4
244,IGHV3-15*07,1
212,IGHV3-15*07,5
203,IGHV3-11*04,2
211,IGHV4-59*10,7
233,IGHV3-71*03,3
206,IGHV3-9*02,4
212,IGHV3-72*01,1
134,IGHV4-59*09,81
230,IGHV1/OR15-3*02,2
227,IGHV1-2*03,1
206,IGHV3-74*03,2
230,IGHV5-a*04,2
208,IGHV1-2*03,1
137,IGHV4-30-4*06,45
218,IGHV4-34*09,1
260,IGHV1/OR21-1*01,1
248,IGHV3-66*03,1
214,IGHV4-55*08,1
173,IGHV4-4*91,1
197,IGHV4/OR15-8*02,2
190,IGHV1-2*03,5
224,IGHV4-61*03,2
209,IGHV1-18*01,21
230,IGHV3-33*02,100
230,IGHV3-7*03,147
236,IGHV2-5*01,1
206,IGHV3-66*01,12
209,IGHV3-30*13,12
221,IGHV3-30*05,26
125,IGHV4-34*13,1
212,IGHV1-58*02,9
203,IGHV1-46*02,9
200,IGHV3-53*01,2
218,IGHV3-53*03,197
200,IGHV3-20*01,1
209,IGHV4-39*02,1
110,IGHV4-34*13,1
242,IGHV3-71*02,2
214,IGHV5-51*04,1
207,IGHV1-8*91,2
218,IGHV1/OR15-4*01,45
212,IGHV3-66*04,2
215,IGHV3-15*07,50
224,IGHV1-46*02,39
215,IGHV3-66*03,4
224,IGHV3/OR16-9*01,1
206,IGHV1-8*02,1
206,IGHV3-13*04,2
215,IGHV3-64*04,3
149,IGHV4-61*07,3
233,IGHV3-30*15,12
200,IGHV5-51*02,2
206,IGHV5-51*02,18
230,IGHV4-59*08,10
190,IGHV1-2*04,1
209,IGHV3-64*91,9
203,IGHV1-3*02,1
221,IGHV1-3*02,11
234,IGHV3-53*01,1
208,IGHV5-51*03,21
212,IGHV1/OR15-4*01,22
203,IGHV1-69*10,3
208,IGHV3-11*01,2
248,IGHV3-h*02,1
236,IGHV3-66*04,8
208,IGHV1-NL1*91,2
233,IGHV4-61*03,2
214,IGHV4/OR15-8*02,3
206,IGHV3-43*91,1
232,IGHV3-h*02,3
200,IGHV2-10*01,1
245,IGHV3-64*91,2
226,IGHV5-51*02,1
209,IGHV1/OR15-3*03,3
276,IGHV3-20*01,1
242,IGHV6-1*02,1
233,IGHV3/OR16-8*02,3
208,IGHV4/OR15-8*03,4
224,IGHV3-7*03,2
203,IGHV3-64*91,1
236,IGHV1/OR15-3*03,1
209,IGHV3-66*04,1
200,IGHV3-33*03,14
211,IGHV1/OR15-2*03,1
206,IGHV1-3*02,2
233,IGHV4-34*09,1
233,IGHV1-69*13,9
185,IGHV3-23*03,3
128,IGHV4-59*09,27
205,IGHV4-4*07,8
